,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity
0,21,Italy,9.0,convenient and very low rate,Vague 2021,positive,2
1,33,France,5.0,ras,Vague 2021,negative,0
2,38,Italy,7.0,i am not very satisfied with the services,Vague 2021,neutral,1
3,41,Italy,9.0,it is a serious and very reliable bank with decades of experience.,Vague 2021,positive,2
4,61,France,9.0,the credit rate offered by the bank and the ease of application,Vague 2021,positive,2
5,69,Italy,9.0,reliable,Vague 2021,positive,2
6,32,Italy,8.0,because it's really reliable and i feel safe with them,Vague 2021,neutral,1
7,48,Italy,9.0,seriousness,Vague 2021,positive,2
8,70,France,7.0,"serious, professional, security",Vague 2021,neutral,1
9,47,Italy,9.0,"is a very reliable institution, which understands the different needs of each client.",Vague 2021,positive,2
10,61,Italy,7.0,mmmmmmmmmmmmmmmmmmmmm,Vague 2021,neutral,1
11,47,France,9.0,it is a very good bank,Vague 2021,positive,2
12,23,France,5.0,it's the one that seems the most accurate to me.,Vague 2021,negative,0
13,21,Italy,8.0,,Vague 2021,neutral,1
14,52,Italy,7.0,because i think that if it is not managed well it gets out of control and the interests are high,Vague 2021,neutral,1
15,46,France,5.0,in,Vague 2021,negative,0
16,46,Italy,8.0,they are correct and the rates are not too high,Vague 2021,neutral,1
17,63,France,10.0,a bank without shareholders.,Vague 2021,positive,2
18,64,France,10.0,"i already had a consumer credit at cofidis before, everything went very well and i took another one last month.",Vague 2021,positive,2
19,58,Italy,7.0,i do not know,Vague 2021,neutral,1
20,24,Italy,6.0,good,Vague 2021,negative,0
21,56,Italy,9.0,fast and convenient service,Vague 2021,positive,2
22,56,France,5.0,"complicated site to consult your account ... and fortunately, i have no problem repaying my monthly payments, purchase in 4 installments free of charge",Vague 2021,negative,0
23,50,Italy,5.0,in,Vague 2021,negative,0
24,54,France,5.0,they are not responsive,Vague 2021,negative,0
25,52,France,7.0,good quality application good management of problems related to bank fraud,Vague 2021,neutral,1
26,42,Italy,5.0,average no different from other companies,Vague 2021,negative,0
27,34,France,8.0,in,Vague 2021,neutral,1
28,44,Italy,7.0,i have a very small loan with them .. activated only for a couple of months. for now the judgment is positive but i don't know them well enough to make a higher grade,Vague 2021,neutral,1
29,46,Italy,8.0,speed of operations,Vague 2021,neutral,1
30,68,Italy,10.0,"the economic conditions, courtesy and professionalism",Vague 2021,positive,2
31,50,France,5.0,i do not recommend anything to anyone,Vague 2021,negative,0
32,71,France,9.0,staff skills bargaining possibilities,Vague 2021,positive,2
33,70,France,2.0,the amount of interest,Vague 2021,negative,0
34,63,France,9.0,service and availability,Vague 2021,positive,2
