,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity,cut_words,letters,comment_length,cleaned_comment
0,21,Italy,9.0,convenient and very low rate,Vague 2021,positive,1,"['convenient', 'and', 'very', 'low', 'rate']","['c', 'o', 'n', 'v', 'e', 'n', 'i', 'e', 'n', 't', ' ', 'a', 'n', 'd', ' ', 'v', 'e', 'r', 'y', ' ', 'l', 'o', 'w', ' ', 'r', 'a', 't', 'e']",5,convenient low rate
1,33,France,5.0,ras,Vague 2021,negative,0,['ras'],"['r', 'a', 's']",1,ras
3,41,Italy,9.0,it is a serious and very reliable bank with decades of experience.,Vague 2021,positive,1,"['it', 'is', 'a', 'serious', 'and', 'very', 'reliable', 'bank', 'with', 'decades', 'of', 'experience.']","['i', 't', ' ', 'i', 's', ' ', 'a', ' ', 's', 'e', 'r', 'i', 'o', 'u', 's', ' ', 'a', 'n', 'd', ' ', 'v', 'e', 'r', 'y', ' ', 'r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'b', 'a', 'n', 'k', ' ', 'w', 'i', 't', 'h', ' ', 'd', 'e', 'c', 'a', 'd', 'e', 's', ' ', 'o', 'f', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', '.']",12,serious reliable decades experience
4,61,France,9.0,the credit rate offered by the bank and the ease of application,Vague 2021,positive,1,"['the', 'credit', 'rate', 'offered', 'by', 'the', 'bank', 'and', 'the', 'ease', 'of', 'application']","['t', 'h', 'e', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'r', 'a', 't', 'e', ' ', 'o', 'f', 'f', 'e', 'r', 'e', 'd', ' ', 'b', 'y', ' ', 't', 'h', 'e', ' ', 'b', 'a', 'n', 'k', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', ' ', 'e', 'a', 's', 'e', ' ', 'o', 'f', ' ', 'a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n']",12,credit rate offered ease application
5,69,Italy,9.0,reliable,Vague 2021,positive,1,['reliable'],"['r', 'e', 'l', 'i', 'a', 'b', 'l', 'e']",1,reliable
7,48,Italy,9.0,seriousness,Vague 2021,positive,1,['seriousness'],"['s', 'e', 'r', 'i', 'o', 'u', 's', 'n', 'e', 's', 's']",1,seriousness
9,47,Italy,9.0,"is a very reliable institution, which understands the different needs of each client.",Vague 2021,positive,1,"['is', 'a', 'very', 'reliable', 'institution,', 'which', 'understands', 'the', 'different', 'needs', 'of', 'each', 'client.']","['i', 's', ' ', 'a', ' ', 'v', 'e', 'r', 'y', ' ', 'r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'i', 'n', 's', 't', 'i', 't', 'u', 't', 'i', 'o', 'n', ',', ' ', 'w', 'h', 'i', 'c', 'h', ' ', 'u', 'n', 'd', 'e', 'r', 's', 't', 'a', 'n', 'd', 's', ' ', 't', 'h', 'e', ' ', 'd', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't', ' ', 'n', 'e', 'e', 'd', 's', ' ', 'o', 'f', ' ', 'e', 'a', 'c', 'h', ' ', 'c', 'l', 'i', 'e', 'n', 't', '.']",13,reliable institution understands different needs client
11,47,France,9.0,it is a very good bank,Vague 2021,positive,1,"['it', 'is', 'a', 'very', 'good', 'bank']","['i', 't', ' ', 'i', 's', ' ', 'a', ' ', 'v', 'e', 'r', 'y', ' ', 'g', 'o', 'o', 'd', ' ', 'b', 'a', 'n', 'k']",6,good
12,23,France,5.0,it's the one that seems the most accurate to me.,Vague 2021,negative,0,"[""it's"", 'the', 'one', 'that', 'seems', 'the', 'most', 'accurate', 'to', 'me.']","['i', 't', ""'"", 's', ' ', 't', 'h', 'e', ' ', 'o', 'n', 'e', ' ', 't', 'h', 'a', 't', ' ', 's', 'e', 'e', 'm', 's', ' ', 't', 'h', 'e', ' ', 'm', 'o', 's', 't', ' ', 'a', 'c', 'c', 'u', 'r', 'a', 't', 'e', ' ', 't', 'o', ' ', 'm', 'e', '.']",10,one seems accurate
15,46,France,5.0,in,Vague 2021,negative,0,['in'],"['i', 'n']",1,
17,63,France,10.0,a bank without shareholders.,Vague 2021,positive,1,"['a', 'bank', 'without', 'shareholders.']","['a', ' ', 'b', 'a', 'n', 'k', ' ', 'w', 'i', 't', 'h', 'o', 'u', 't', ' ', 's', 'h', 'a', 'r', 'e', 'h', 'o', 'l', 'd', 'e', 'r', 's', '.']",4,without shareholders
18,64,France,10.0,"i already had a consumer credit at cofidis before, everything went very well and i took another one last month.",Vague 2021,positive,1,"['i', 'already', 'had', 'a', 'consumer', 'credit', 'at', 'cofidis', 'before,', 'everything', 'went', 'very', 'well', 'and', 'i', 'took', 'another', 'one', 'last', 'month.']","['i', ' ', 'a', 'l', 'r', 'e', 'a', 'd', 'y', ' ', 'h', 'a', 'd', ' ', 'a', ' ', 'c', 'o', 'n', 's', 'u', 'm', 'e', 'r', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'a', 't', ' ', 'c', 'o', 'f', 'i', 'd', 'i', 's', ' ', 'b', 'e', 'f', 'o', 'r', 'e', ',', ' ', 'e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g', ' ', 'w', 'e', 'n', 't', ' ', 'v', 'e', 'r', 'y', ' ', 'w', 'e', 'l', 'l', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 't', 'o', 'o', 'k', ' ', 'a', 'n', 'o', 't', 'h', 'e', 'r', ' ', 'o', 'n', 'e', ' ', 'l', 'a', 's', 't', ' ', 'm', 'o', 'n', 't', 'h', '.']",20,already consumer credit cofidis everything went well took another one last month
20,24,Italy,6.0,good,Vague 2021,negative,0,['good'],"['g', 'o', 'o', 'd']",1,good
21,56,Italy,9.0,fast and convenient service,Vague 2021,positive,1,"['fast', 'and', 'convenient', 'service']","['f', 'a', 's', 't', ' ', 'a', 'n', 'd', ' ', 'c', 'o', 'n', 'v', 'e', 'n', 'i', 'e', 'n', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",4,fast convenient service
22,56,France,5.0,"complicated site to consult your account ... and fortunately, i have no problem repaying my monthly payments, purchase in 4 installments free of charge",Vague 2021,negative,0,"['complicated', 'site', 'to', 'consult', 'your', 'account', '...', 'and', 'fortunately,', 'i', 'have', 'no', 'problem', 'repaying', 'my', 'monthly', 'payments,', 'purchase', 'in', '4', 'installments', 'free', 'of', 'charge']","['c', 'o', 'm', 'p', 'l', 'i', 'c', 'a', 't', 'e', 'd', ' ', 's', 'i', 't', 'e', ' ', 't', 'o', ' ', 'c', 'o', 'n', 's', 'u', 'l', 't', ' ', 'y', 'o', 'u', 'r', ' ', 'a', 'c', 'c', 'o', 'u', 'n', 't', ' ', '.', '.', '.', ' ', 'a', 'n', 'd', ' ', 'f', 'o', 'r', 't', 'u', 'n', 'a', 't', 'e', 'l', 'y', ',', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 'r', 'e', 'p', 'a', 'y', 'i', 'n', 'g', ' ', 'm', 'y', ' ', 'm', 'o', 'n', 't', 'h', 'l', 'y', ' ', 'p', 'a', 'y', 'm', 'e', 'n', 't', 's', ',', ' ', 'p', 'u', 'r', 'c', 'h', 'a', 's', 'e', ' ', 'i', 'n', ' ', '4', ' ', 'i', 'n', 's', 't', 'a', 'l', 'l', 'm', 'e', 'n', 't', 's', ' ', 'f', 'r', 'e', 'e', ' ', 'o', 'f', ' ', 'c', 'h', 'a', 'r', 'g', 'e']",24,complicated site consult account fortunately problem repaying monthly payments purchase installments free charge
23,50,Italy,5.0,in,Vague 2021,negative,0,['in'],"['i', 'n']",1,
24,54,France,5.0,they are not responsive,Vague 2021,negative,0,"['they', 'are', 'not', 'responsive']","['t', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'n', 'o', 't', ' ', 'r', 'e', 's', 'p', 'o', 'n', 's', 'i', 'v', 'e']",4,responsive
26,42,Italy,5.0,average no different from other companies,Vague 2021,negative,0,"['average', 'no', 'different', 'from', 'other', 'companies']","['a', 'v', 'e', 'r', 'a', 'g', 'e', ' ', 'n', 'o', ' ', 'd', 'i', 'f', 'f', 'e', 'r', 'e', 'n', 't', ' ', 'f', 'r', 'o', 'm', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's']",6,average different companies
30,68,Italy,10.0,"the economic conditions, courtesy and professionalism",Vague 2021,positive,1,"['the', 'economic', 'conditions,', 'courtesy', 'and', 'professionalism']","['t', 'h', 'e', ' ', 'e', 'c', 'o', 'n', 'o', 'm', 'i', 'c', ' ', 'c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 's', ',', ' ', 'c', 'o', 'u', 'r', 't', 'e', 's', 'y', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l', 'i', 's', 'm']",6,economic conditions courtesy professionalism
31,50,France,5.0,i do not recommend anything to anyone,Vague 2021,negative,0,"['i', 'do', 'not', 'recommend', 'anything', 'to', 'anyone']","['i', ' ', 'd', 'o', ' ', 'n', 'o', 't', ' ', 'r', 'e', 'c', 'o', 'm', 'm', 'e', 'n', 'd', ' ', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'a', 'n', 'y', 'o', 'n', 'e']",7,recommend anything anyone
32,71,France,9.0,staff skills bargaining possibilities,Vague 2021,positive,1,"['staff', 'skills', 'bargaining', 'possibilities']","['s', 't', 'a', 'f', 'f', ' ', 's', 'k', 'i', 'l', 'l', 's', ' ', 'b', 'a', 'r', 'g', 'a', 'i', 'n', 'i', 'n', 'g', ' ', 'p', 'o', 's', 's', 'i', 'b', 'i', 'l', 'i', 't', 'i', 'e', 's']",4,staff skills bargaining possibilities
33,70,France,2.0,the amount of interest,Vague 2021,negative,0,"['the', 'amount', 'of', 'interest']","['t', 'h', 'e', ' ', 'a', 'm', 'o', 'u', 'n', 't', ' ', 'o', 'f', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",4,amount interest
34,63,France,9.0,service and availability,Vague 2021,positive,1,"['service', 'and', 'availability']","['s', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'a', 'n', 'd', ' ', 'a', 'v', 'a', 'i', 'l', 'a', 'b', 'i', 'l', 'i', 't', 'y']",3,service availability
35,68,Italy,9.0,"quick in defining the case, few documents",Vague 2021,positive,1,"['quick', 'in', 'defining', 'the', 'case,', 'few', 'documents']","['q', 'u', 'i', 'c', 'k', ' ', 'i', 'n', ' ', 'd', 'e', 'f', 'i', 'n', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'c', 'a', 's', 'e', ',', ' ', 'f', 'e', 'w', ' ', 'd', 'o', 'c', 'u', 'm', 'e', 'n', 't', 's']",7,quick defining case documents
41,52,Italy,5.0,ease of contact,Vague 2021,negative,0,"['ease', 'of', 'contact']","['e', 'a', 's', 'e', ' ', 'o', 'f', ' ', 'c', 'o', 'n', 't', 'a', 'c', 't']",3,ease contact
43,36,Italy,10.0,sure punctual corrertti,Vague 2021,positive,1,"['sure', 'punctual', 'corrertti']","['s', 'u', 'r', 'e', ' ', 'p', 'u', 'n', 'c', 't', 'u', 'a', 'l', ' ', 'c', 'o', 'r', 'r', 'e', 'r', 't', 't', 'i']",3,sure punctual corrertti
46,41,France,6.0,expensive,Vague 2021,negative,0,['expensive'],"['e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e']",1,expensive
48,65,Italy,5.0,very expensive,Vague 2021,negative,0,"['very', 'expensive']","['v', 'e', 'r', 'y', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e']",2,expensive
50,70,France,10.0,"competitive, fast",Vague 2021,positive,1,"['competitive,', 'fast']","['c', 'o', 'm', 'p', 'e', 't', 'i', 't', 'i', 'v', 'e', ',', ' ', 'f', 'a', 's', 't']",2,competitive fast
51,46,France,10.0,reliable organization with not excessive fees,Vague 2021,positive,1,"['reliable', 'organization', 'with', 'not', 'excessive', 'fees']","['r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'o', 'r', 'g', 'a', 'n', 'i', 'z', 'a', 't', 'i', 'o', 'n', ' ', 'w', 'i', 't', 'h', ' ', 'n', 'o', 't', ' ', 'e', 'x', 'c', 'e', 's', 's', 'i', 'v', 'e', ' ', 'f', 'e', 'e', 's']",6,reliable organization excessive fees
54,29,Italy,9.0,acceptable interests,Vague 2021,positive,1,"['acceptable', 'interests']","['a', 'c', 'c', 'e', 'p', 't', 'a', 'b', 'l', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', 's']",2,acceptable interests
56,41,Italy,5.0,this is the first time i use it,Vague 2021,negative,0,"['this', 'is', 'the', 'first', 'time', 'i', 'use', 'it']","['t', 'h', 'i', 's', ' ', 'i', 's', ' ', 't', 'h', 'e', ' ', 'f', 'i', 'r', 's', 't', ' ', 't', 'i', 'm', 'e', ' ', 'i', ' ', 'u', 's', 'e', ' ', 'i', 't']",8,first time use
58,62,Italy,9.0,speed clarity,Vague 2021,positive,1,"['speed', 'clarity']","['s', 'p', 'e', 'e', 'd', ' ', 'c', 'l', 'a', 'r', 'i', 't', 'y']",2,speed clarity
61,53,Italy,6.0,it's my bank,Vague 2021,negative,0,"[""it's"", 'my', 'bank']","['i', 't', ""'"", 's', ' ', 'm', 'y', ' ', 'b', 'a', 'n', 'k']",3,
62,33,Italy,10.0,"simplicity, speed",Vague 2021,positive,1,"['simplicity,', 'speed']","['s', 'i', 'm', 'p', 'l', 'i', 'c', 'i', 't', 'y', ',', ' ', 's', 'p', 'e', 'e', 'd']",2,simplicity speed
63,40,France,5.0,i dont know,Vague 2021,negative,0,"['i', 'dont', 'know']","['i', ' ', 'd', 'o', 'n', 't', ' ', 'k', 'n', 'o', 'w']",3,dont know
64,35,France,5.0,,Vague 2021,negative,0,[],[],0,
