,age,Country,A1,A2_translation,vague
52095,21,Italy,9.0,Convenient and very low rate,Vague 2021
52096,33,France,5.0,RAS,Vague 2021
52097,38,Italy,7.0,I am not very satisfied with the services,Vague 2021
52098,41,Italy,9.0,It is a serious and very reliable bank with decades of experience.,Vague 2021
52099,61,France,9.0,The credit rate offered by the bank and the ease of application,Vague 2021
52100,69,Italy,9.0,reliable,Vague 2021
52101,32,Italy,8.0,Because it's really reliable and I feel safe with them,Vague 2021
52102,48,Italy,9.0,seriousness,Vague 2021
52103,70,France,7.0,"Serious, professional, security",Vague 2021
52104,47,Italy,9.0,"is a very reliable institution, which understands the different needs of each client.",Vague 2021
52105,61,Italy,7.0,mmmmmmmmmmmmmmmmmmmmm,Vague 2021
52106,47,France,9.0,it is a very good bank,Vague 2021
52107,23,France,5.0,It's the one that seems the most accurate to me.,Vague 2021
52108,21,Italy,8.0,m,Vague 2021
52109,52,Italy,7.0,Because I think that if it is not managed well it gets out of control and the interests are high,Vague 2021
52110,46,France,5.0,in,Vague 2021
52111,46,Italy,8.0,they are correct and the rates are not too high,Vague 2021
52112,63,France,10.0,A bank without shareholders.,Vague 2021
52113,64,France,10.0,"I already had a consumer credit at cofidis before, everything went very well and I took another one last month.",Vague 2021
52114,58,Italy,7.0,I do not know,Vague 2021
52115,24,Italy,6.0,Good,Vague 2021
52116,56,Italy,9.0,Fast and convenient service,Vague 2021
52117,56,France,5.0,"complicated site to consult your account ... and fortunately, I have no problem repaying my monthly payments, purchase in 4 installments free of charge",Vague 2021
52118,50,Italy,5.0,in,Vague 2021
52119,54,France,5.0,they are not responsive,Vague 2021
52120,52,France,7.0,good quality application good management of problems related to bank fraud,Vague 2021
52121,42,Italy,5.0,average no different from other companies,Vague 2021
52122,34,France,8.0,in,Vague 2021
52123,44,Italy,7.0,I have a very small loan with them .. activated only for a couple of months. For now the judgment is positive but I don't know them well enough to make a higher grade,Vague 2021
52124,46,Italy,8.0,speed of operations,Vague 2021
52125,68,Italy,10.0,"The economic conditions, courtesy and professionalism",Vague 2021
52126,50,France,5.0,I do not recommend anything to anyone,Vague 2021
52127,71,France,9.0,Staff skills Bargaining possibilities,Vague 2021
52128,70,France,2.0,the amount of interest,Vague 2021
52129,63,France,9.0,SERVICE AND AVAILABILITY,Vague 2021
52130,68,Italy,9.0,"Quick in defining the case, few documents",Vague 2021
52131,37,France,7.0,Reliable correct rate,Vague 2021
52132,36,Italy,8.0,efficiency,Vague 2021
52133,26,Italy,7.0,management,Vague 2021
52134,47,France,8.0,Never had a problem with my refunds,Vague 2021
52135,30,Italy,8.0,Loan without interest and with good technology,Vague 2021
52136,52,Italy,5.0,ease of contact,Vague 2021
52137,41,France,7.0,good bank,Vague 2021
